slot,netLoad,resLoad,pvGen,evSchedule,evAvailability,regAvailability,batterySOC,batterySOCmin,minVoltageV,minVoltagePU,elPrice,chCost,regRev,netChCost,resCost,totalCost
65,75.2941494758,10.9243333333,0,64.3698161425,55.0,0.0,0.956230287499,0.830259755185,216.905990601,0.94306952435,10.336250000000003,1.66335628026,0.0,1.66335628026,0.282291601042,1.9456478813
66,75.3931824754,10.113,0,65.2801824754,55.0,0.0,0.965428858666,0.858934755185,216.9168396,0.943116693911,10.336250000000003,1.68688071528,0.0,1.68688071528,0.261326240625,1.9482069559
67,74.5595348278,9.53113333333,0,65.0284014945,55.0,0.0,0.974591951604,0.887609755185,216.946609497,0.943246128248,10.471250000000001,1.70232162287,0.0,1.70232162287,0.249507199792,1.95182882266
68,74.6541278524,13.2064666667,0,61.4476611857,55.0,0.0,0.98325048568,0.901037878304,216.808349609,0.942644998302,10.471250000000001,1.60858455548,0.0,1.60858455548,0.345720535208,1.95430509069
69,52.6318475869,10.6836666667,0,41.9481809202,55.0,0.0,0.989161365719,0.929113515014,217.053222656,0.943709663723,12.251249999999999,1.28479412875,0.0,1.28479412875,0.327220678125,1.61201480687
70,51.4465011042,12.8654,0,38.5811011042,54.0,0.0,0.994597793602,0.94265,217.047409058,0.943684387207,12.251249999999999,1.18166678726,0.0,1.18166678726,0.394043079375,1.57570986663
71,31.6899722903,11.8517333333,0,19.838238957,54.0,0.0,0.997393181818,0.971325,218.521148682,0.95009195079,15.70625,0.778960851544,0.0,0.778960851544,0.465365716667,1.24432656821
72,34.7618,16.2618,0,18.5,54.0,0.0,1.0,1.0,219.111938477,0.952660602072,15.70625,0.7264140625,0.0,0.7264140625,0.638529740625,1.36494380312
73,22.5864666667,22.5864666667,0,0.0,53.0,0.0,1.0,1.0,225.387786865,0.979946899414,19.291249999999998,0.0,0.0,0.0,1.08930293771,1.08930293771
74,17.6315333333,17.6315333333,0,0.0,53.0,0.0,1.0,1.0,227.61781311,0.989642665697,19.291249999999998,0.0,0.0,0.0,0.850335793542,0.850335793542
75,21.8784666667,21.8784666667,0,0.0,51.0,0.0,1.0,1.0,228.067474365,0.991597714631,20.19625,0.0,0.0,0.0,1.10465745604,1.10465745604
